dd0 Cell Density,dd0-dd1 Cell Density Gradient,dd1 Cell Density,dd1-dd2 Cell Density Gradient,dd2 Cell Density,dd2-dd3 Cell Density Gradient,dd3 Cell Density ,dd3-dd5 Cell Density Gradient,dd5 Cell Density,dd5-dd7 Cell Density Gradient,dd7 Cell Density,dd0 Aggregate Size,dd0-dd1 Aggregate Size Gradient,dd1 Aggregate Size ,dd1-dd2 Aggregate Size Gradient,dd2 Aggregate Size ,dd2-dd3 Aggregate Size Gradient,dd3 Aggregate Size ,dd3-dd5 Aggregate Size Gradient,dd5 Aggregate Size ,dd7 Aggregate Size ,dd5-dd7 Aggregate Size Gradient,Preculture Time [h],Start Preculture Perfusion [h after inoc] d1-d2,Presence of  IWP2 [h],Average DO concentration d0,Average DO concentration d1,Average DO concentration dd0,Average DO concentration dd1,Average DO concentration dd2,Average DO concentration dd3,Average DO concentration dd4,Average DO concentration dd5,Average DO concentration dd6,Average DO concentration dd7,Average DO concentration gradient d0,Average DO concentration gradient d1,Average DO concentration gradient dd0,Average DO concentration gradient dd1,Average DO concentration gradient dd2,Average DO concentration gradient dd3,Average DO concentration gradient dd4,Average DO concentration gradient dd5,Average DO concentration gradient dd6,Average DO concentration gradient dd7,DO concentration/cell count dd0,DO concentration/cell count dd1,DO concentration/cell count dd2,DO concentration/cell count dd3,DO concentration/cell count dd5,DO concentration/cell count dd7,DO gradient/cell count dd0,DO gradient/cell count dd1,DO gradient/cell count dd2,DO gradient/cell count dd3,DO gradient/cell count dd5,DO gradient/cell count dd7,dd0 Average of 2nd derivative DO,dd1 Average of 2nd derivative DO,dd2 Average of 2nd derivative DO,dd3 Average of 2nd derivative DO,dd5 Average of 2nd derivative DO,dd7 Average of 2nd derivative DO,dd0 DO 2nd derivative/cell count,dd1 DO 2nd derivative/cell count,dd2 DO 2nd derivative/cell count,dd3 DO 2nd derivative/cell count,dd5 DO 2nd derivative/cell count,dd7 DO 2nd derivative/cell count,Overall Average pH,Overall density gradient,Overall aggregate size gradient,d0 Average pH,d0 Average pH Gradient,d1 Average pH,d1 Average pH Gradient,dd0 Average pH,dd0 Average pH Gradient,dd1 Average pH,dd1 Average pH Gradient,dd2 Average pH,dd2 Average pH Gradient,dd3 Average pH,dd3 Average pH Gradient,dd4 Average pH,dd4 Average pH Gradient,dd5 Average pH,dd5 Average pH Gradient,dd6 Average pH,dd6 Average pH Gradient,dd7 Average pH,dd7 Average pH Gradient,dd0 Lactate Concentration,dd1 Lactate Concentration,dd3 Lactate Concentration,dd5 Lactate Concentration,dd7 Lactate Concentration,dd0 Glucose Concentration,dd1 Glucose Concentration,dd3 Glucose Concentration,dd5 Glucose Concentration,dd7 Glucose Concentration
0.725,0.213793103,0.88,0.190069607,1.047261254,-0.04035407,1.005,0.810945274,1.82,-0.144394006,1.55720291,121.616004,0.111218093,135.141904,0.154432771,156.0122428,-0.213780003,122.659945,-0.056161675,115.771157,118.194219,0.020929755,53,26.75,44.5,108.2344,87.827,83.00788889,83.9007,77.28407692,70.14980952,65.55902381,74.68975591,65.14186772,30.41537179,139.1262063,-7.230151139,1.722996016,1.334571377,-1.160427897,-1.380013217,2.326476925,-3.841011948,-9.52771645,-1.330997378,103.4366217,87.06728248,75.31602205,49.66358196,44.23172543,27.29876302,2.147035534,1.384940806,-1.130877362,-0.977000508,-2.274670519,-1.194612456,53.56333091,-65.58321942,-88.23497912,-43.32892898,39.60602044,-384.1950768,73.88045643,-74.5263857,-55.81820477,-43.11336217,21.76154969,-344.8272941,6.745032553,1.147866082,-0.028135976,7.067529412,-0.062512001,6.81908,-0.003823734,6.583861111,-0.022006662,6.526025,-0.072583083,6.611545455,-0.120080586,6.92315625,-0.020805712,6.647576923,-0.00537165,6.555818182,0.020182908,6.675911765,-0.105295408,7.039821429,-0.010011676,13.675,14.025,2.09,17.78,5.935,9.18,3.895,9.875,0.635,7.555
0.65,0.384615385,0.9,0.190069607,1.071062646,0.246425692,1.335,0.74906367,2.335,-0.144394006,1.997839997,114.421927,0.273493095,145.715534,0.057393474,154.0786547,-0.254587598,114.85214,0.390156631,159.662464,125.49478,-0.213999478,53,26.75,44.5,88.256,74.95353333,74.50263636,78.39414286,74.20158333,68.37663158,64.08972,75.16146575,65.05072727,31.58469697,-42.06791722,-3.352800269,1.342433449,0.327086319,-1.047309234,-0.498044661,-0.522283488,-8.770925454,-12.24656334,-1.712621885,96.13243402,79.54505456,61.67884569,51.21845062,34.69385706,28.34826953,1.732172192,0.331888304,-0.870558575,-0.271413984,-4.048580359,-1.537132582,-4.18072761,2.388758938,26.88962824,2.473982607,-0.986518904,-0.217787391,-6.431888631,2.654176598,17.95933842,1.853170492,-0.422492036,-0.195471107,6.908314343,2.073599995,0.096772125,7.2598,-0.028531091,6.85096,-0.003626117,7.145157895,-0.118095153,6.991,-0.012421059,6.833088235,-0.08655486,6.843135135,-0.030596478,6.60264,0.003752287,6.746703704,0.00506942,6.862538462,0.004253469,6.94812,0.002797407,14.115,13.35,2.165,17.105,12.51,9.52,4.47,10.145,1.01,2.91
0.88,0.022727273,0.9,0.190069607,1.071062646,-0.03833823,1.03,0.611650485,1.66,-0.144394006,1.420305951,118.950489,0.570669894,186.831952,-0.192838734,150.803515,0.053655076,158.894889,0.256804289,199.699778,159.815115,-0.199723121,53,26.75,44.5,90.72258491,82.02435135,84.46712234,87.60477043,83.46230351,79.84003604,74.38491329,70.06445816,61.28101367,33.78931167,-98.56046154,1.613414414,2.758746011,-3.117929551,2.06202955,2.836885139,-3.83244916,-9.328510913,-2.890108414,-3.231224391,94.90687903,88.89090421,79.44770583,77.51459809,45.49188248,26.81691402,3.099714619,-3.163704165,1.962844425,2.109208282,-6.056872962,-2.564463803,-21.34736322,-130.1593896,-219.2698444,-164.5453714,-237.251185,241.1784675,-24.2583673,-144.621544,-150.7650334,-159.7527878,-142.9224006,191.4114821,6.831166197,0.613984035,0.343543153,7.124666667,-0.021071517,6.860076923,-0.005193315,7.294534884,-0.222222842,6.616605263,0.008970341,6.73671875,-0.11842901,6.92569697,-0.021461898,6.621730769,-0.003551173,6.615722222,-0.0975745,6.539342857,-0.060542328,6.976566667,-0.013500283,14.44,13.67,1.775,19.05,7.21,9.0275,4.415,10.27,0,6.745
0.785,0.363057325,1.07,0.190069607,1.273374479,-0.462059268,0.685,0.510948905,1.035,-0.144394006,0.885552204,125.587593,-0.031354172,121.649898,0.252196762,152.3296084,-0.019306112,149.388716,-0.043808175,142.844269,213.765558,0.496493766,53,26.75,44.5,116.8642826,78.80852,74.6413,77.92091667,73.53033333,65.58492,58.18748485,68.17734444,64.53052778,52.82807317,120.3627177,-6.314443454,0.866380355,0.446800721,-1.07693329,-0.815076172,-0.115537824,-13.03009545,-9.470769714,-0.319915621,80.47579515,66.50317084,75.09323076,95.74440876,70.99764776,41.9270422,0.934102808,0.381331046,-1.099823657,-0.94776299,-13.56911353,-0.253901286,60.34482218,151.3772332,-97.10421396,6.138381812,-7.501429233,-6.322409346,76.87238494,141.4740497,-59.86199319,8.961141331,-7.247757713,-5.017785195,6.884728942,0.12809198,0.702123218,7.11465625,-0.015621732,6.794346154,-0.004452929,6.827923077,-0.070174599,6.953078947,-0.124616993,7.11471875,-0.114203336,6.973193548,-0.014915667,6.744807692,-0.003063155,6.74675,0.001125012,6.77744,0.001162115,6.800375,0.000916574,13.995,11.955,0.995,16.43,14.295,8.995,5.155,10.255,2.27,2.135
0.41,0.975609756,0.81,0.190069607,0.963956381,1.778134002,2.678,-0.002987304,2.67,-0.376404494,1.665,91.8841821,0.603648927,147.34997,-0.016008463,144.9911235,0.220830415,177.0095735,0.640537199,290.39079,219.99551,-0.242415677,56,28.5,43.12,114.9939184,87.68464634,82.24885965,82.26026829,76.34938235,66.01037838,78.04810938,85.0360885,72.89522581,60.83181507,128.1037575,-9.176986923,0.29040418,2.417361315,-1.774980952,-1.015254537,1.670943954,1.757993562,-12.19719338,1.563706248,134.8341961,92.74215438,41.92767532,24.64913308,39.2323361,36.53562467,0.476072427,2.725389802,-0.974740368,-0.379676341,0.811069694,0.939162912,112.5087102,-121.9438187,74.25138091,-212.0967958,36.69398079,-81.8907704,274.4114884,-150.5479243,61.17238371,-79.19969972,13.74306397,-49.18364589,6.785728218,3.06097561,1.394269666,7.06065625,-0.017937077,6.846551724,0.011179144,7.054666667,-0.144730448,6.9092,-0.155054517,6.618,-0.00952481,6.555046512,-0.142153043,6.599625,0.000770783,6.682807692,0.005549079,6.75952,0.000657165,6.771208333,0.000541667,13.0575,11.3,15.1,16.425,14.455,9.5475,1.7,0.0175,1.61,1.065
0.295,0.084745763,0.32,0.190069607,0.380822274,1.384314316,0.908,-0.251101322,0.68,0.014705882,0.69,85.0092262,0.319821683,112.19702,0.195706867,134.1547472,0.319443234,177.0095735,3.263893331,754.74994,338.91061,-0.550963051,56,28.5,43.12,89.32396429,76.87827586,69.905375,70.99163636,64.12126667,65.29436585,71.06177273,74.11306098,72.09037975,62.90180488,210.9141613,-5.698822861,-0.078973018,-0.203929524,-1.239214662,0.975095149,-0.54986738,-11.87334878,-8.510432165,-0.639023167,227.3345528,202.5952627,99.50365998,71.91009455,108.1942496,91.16203606,-0.256822822,-0.581972153,-1.923018692,1.228079533,-17.33335589,-0.926120532,45.99680583,-9.739119306,3.842239771,-48.03451697,0.490742277,-0.304509302,155.9213757,-30.43474783,3.165449083,-52.90145041,0.721679819,-0.44131783,6.910049311,1.338983051,2.986750911,7.039617647,-0.045033658,6.840703704,0.002586118,6.906722222,0.079153361,7.132861111,-0.069103665,6.911933333,-0.012204296,7.0576875,-0.084219887,6.816925926,-0.005085661,6.784416667,0.000875035,6.805,0.000458357,6.804625,4.16435E-05,11.585,10.1,12.1,12.13,12.835,10.795,0.6,3.605,3.765,3.095
1.185,-0.392405063,0.72,0.190069607,0.856850117,1.87389819,2.4625,-0.145177665,2.105,-0.420427553,1.22,148.90783,0.337195163,199.11883,-0.145511282,170.1447937,0.043910446,177.6159276,0.520885225,270.13344,235.10028,-0.12968835,56,28.5,43.12,139.8874375,87.32982143,80.85766667,82.761,73.43145946,58.07628571,38.93703704,64.52240299,54.27322222,28.94834921,-355.0014894,-7.505651569,-0.714055162,-0.146576007,-1.609695608,-4.231913414,-1.290746153,-4.454354348,-9.439120453,-1.575222379,84.88993876,104.9700274,44.24447972,23.58427846,38.81046796,23.72815509,-0.749664212,-0.185909878,-0.969886002,-1.853054587,-2.679310886,-1.291165884,-6.466749264,-6.136306112,10.41257915,-5.891795319,-10.53516388,-14.78519396,-5.457172375,-8.522647378,8.284069614,-2.392607236,-5.004828446,-12.11901144,6.686832548,0.029535865,0.578830878,7.109470588,-0.016694797,6.825576923,-0.004355878,7.185571429,-0.143010904,5.15396,0.261880145,6.695111111,-0.00666403,6.500953488,-0.022175081,6.653038462,0.001724702,6.79172973,-0.138254439,6.724307692,-0.005060195,7.228606061,-0.16422981,15.045,11.3,14.7,15.77621212,16.575,8.715,1.8,1.2125,2.125769231,0.96
1.185,-0.755274262,0.29,0.190069607,0.345120186,4.128648141,1.77,-0.401129944,1.06,-0.023584906,1.035,138.17223,0.291568356,178.45888,-0.053373509,168.9339033,0.297081259,219.121,0.736757864,380.56012,439.51547,0.15491731,56,28.5,43.12,127.6041296,88.32876471,78.5632,76.88691667,66.44035897,49.16402273,28.43286207,63.67643333,68.89831915,54.04721311,121.7964136,-8.065720608,-0.469623571,-0.954285874,-2.083300722,-2.286150235,-1.92475134,-11.98947007,-8.553277708,-1.623922609,106.5263729,242.1176916,62.82419261,27.77628403,60.78895784,52.21952958,-0.636777724,-3.005056037,-1.969912382,-1.615653877,-11.44579481,-1.569007352,-383.7745395,-73.36479698,5.627475077,-167.8342149,-314.3165577,207.0396365,-323.8603709,-252.9820586,4.863850542,-94.82159031,-296.5250544,200.0382961,6.883873194,-0.126582278,2.180924778,7.150727273,-0.057900802,6.780269231,-0.003531612,7.014428571,-0.0052553,6.478470588,-0.016905858,6.8319,-0.013686768,7.363972973,-0.172201413,6.67362963,-0.005073656,6.86165625,-0.075471379,6.79,-0.006710543,6.893677419,-0.113081414,12.3775,11.5,13.375,18.93,14.225,7.135,0.7,0.4875,0,1.765
0.66,-0.037878788,0.635,0.763779528,1.12,1.026785714,2.27,-0.176211454,1.87,-0.144394006,1.599983209,112.9879552,0.281741366,144.821336,-0.000630627,144.7300078,0.342467246,194.295295,0.051993966,204.397478,218.894079,0.070923581,50,27.5,43,93.8475,70.88030435,63.85357143,57.80821429,71.23990909,59.20496203,60.18664103,60.0262,63.95554483,60.07153571,-39.09674419,-7.211805807,-1.312434508,3.151087857,-80.06872484,0.945093613,3.472525562,0.022733333,-4.766513838,-0.013482466,98.61555433,65.87830688,42.02944489,26.08148107,34.59740084,53.63529974,-2.02692588,3.590983312,-47.23818575,0.456566963,0.013102849,-0.012037916,1.20159837,3.494611968,-7.709259716,0.062480523,25.47785554,2.291056565,1.820603591,5.503325934,-6.883267604,0.027524459,13.62452168,2.045586219,7.042365888,1.424216984,0.937322245,7.092384615,-0.180221426,7.078714286,0.000215086,6.903815789,-0.225415642,6.985466667,-0.012723103,7.028935484,-0.136430634,7.156555556,-0.008261863,6.982875,-0.182320609,7.199194444,-0.035200759,7.027037037,-0.001324093,6.96868,-0.000174545,12.755,13.81878205,14.36666667,16.175,13.37025641,9.22,3.647831197,1.910347222,2.13,2.671346154
1.21,-0.305785124,0.84,0.5,1.26,1.198412698,2.77,-0.393501805,1.68,-0.144394006,1.43741807,122.439462,0.250084315,153.059651,0.011208518,154.7752229,0.028295789,159.15471,0.157844735,184.276443,132.878243,-0.278918993,50,27.5,43,95.14505405,75.22373333,67.58657143,66.64166667,57.7223871,44.45379487,29.44962791,77.59926293,80.32447507,80.01607629,-25.12611111,-6.67877594,-0.164809724,-0.795997802,-1.392286013,-1.233716148,-1.347309841,0.183359954,-2.382889741,-5.007596211,65.93811847,63.46825397,28.64634595,16.0483014,49.78431585,63.50482245,-0.160789975,-0.758093144,-0.690960801,-0.554479168,0.11763578,-3.974282707,-12.58635233,159.649889,-153.6519492,-59.9076299,40.57627122,39.14936943,-10.40194407,190.0593917,-121.9459914,-21.62730321,24.1525424,31.07092812,7.12242745,0.187948819,0.085256672,7.03834375,-0.016547752,6.806807692,-0.003679752,7.656555556,-0.040133807,7.868088889,-0.264694498,6.868147059,-0.176469562,6.944548387,-0.017290603,6.642242424,-0.090530938,7.186111111,-0.007394374,7.02662963,-0.006628209,7.1868,-0.105357884,15.83,13.81878205,14.36666667,17.275,13.37025641,9.4225,3.647831197,1.910347222,0.56,2.671346154
